time,temperature_2m,relative_humidity_2m,precipitation,surface_pressure,wind_speed_10m,wind_direction_10m,city
2021-01-01T00:00,23.1,75,0.0,1010.8,10.2,352,Mumbai
2021-01-01T01:00,22.8,74,0.0,1010.5,7.2,360,Mumbai
2021-01-01T02:00,22.3,77,0.0,1009.8,6.2,350,Mumbai
2021-01-01T03:00,21.8,82,0.0,1009.6,4.7,351,Mumbai
2021-01-01T04:00,21.4,84,0.0,1009.5,4.7,9,Mumbai
2021-01-01T05:00,21.4,84,0.0,1009.8,5.1,51,Mumbai
2021-01-01T06:00,20.8,87,0.0,1010.5,5.0,60,Mumbai
2021-01-01T07:00,21.2,86,0.0,1011.3,3.6,37,Mumbai
2021-01-01T08:00,23.2,74,0.0,1012.0,4.1,52,Mumbai
2021-01-01T09:00,26.1,63,0.0,1012.6,5.1,82,Mumbai
2021-01-01T10:00,28.9,52,0.0,1012.5,8.2,105,Mumbai
2021-01-01T11:00,30.9,46,0.0,1011.9,10.0,139,Mumbai
2021-01-01T12:00,31.7,44,0.0,1011.0,10.4,182,Mumbai
2021-01-01T13:00,31.1,47,0.0,1010.3,12.5,224,Mumbai
2021-01-01T14:00,30.2,51,0.0,1009.6,14.8,244,Mumbai
2021-01-01T15:00,28.9,59,0.0,1009.2,17.3,268,Mumbai
2021-01-01T16:00,27.8,65,0.0,1009.2,14.8,283,Mumbai
2021-01-01T17:00,26.9,71,0.0,1009.2,10.7,303,Mumbai
2021-01-01T18:00,26.0,76,0.0,1009.9,9.7,333,Mumbai
2021-01-01T19:00,25.4,78,0.0,1010.6,9.6,340,Mumbai
2021-01-01T20:00,24.9,78,0.0,1011.4,7.2,6,Mumbai
2021-01-01T21:00,24.7,77,0.0,1011.6,8.3,358,Mumbai
2021-01-01T22:00,24.6,76,0.0,1011.8,7.6,357,Mumbai
2021-01-01T23:00,24.1,77,0.0,1011.8,6.2,7,Mumbai
2021-01-01T00:00,7.3,86,0.0,991.6,5.5,259,Delhi
2021-01-01T01:00,8.1,82,0.0,991.5,2.8,230,Delhi
2021-01-01T02:00,6.5,86,0.0,991.3,4.6,231,Delhi
2021-01-01T03:00,7.6,81,0.0,991.1,4.1,255,Delhi
2021-01-01T04:00,6.1,86,0.0,991.0,6.0,287,Delhi
2021-01-01T05:00,3.9,96,0.0,991.7,4.7,261,Delhi
2021-01-01T06:00,3.5,99,0.0,992.0,3.2,270,Delhi
2021-01-01T07:00,3.8,99,0.0,992.8,2.3,288,Delhi
2021-01-01T08:00,5.2,97,0.0,993.9,1.6,297,Delhi
2021-01-01T09:00,8.2,88,0.0,994.9,1.3,56,Delhi
2021-01-01T10:00,11.5,77,0.0,995.2,3.5,66,Delhi
2021-01-01T11:00,14.4,60,0.0,994.6,5.9,76,Delhi
2021-01-01T12:00,16.0,53,0.0,993.5,7.7,79,Delhi
2021-01-01T13:00,17.2,48,0.0,992.4,7.6,85,Delhi
2021-01-01T14:00,17.9,45,0.0,991.6,7.2,87,Delhi
2021-01-01T15:00,18.1,44,0.0,991.4,6.5,96,Delhi
